Under five mortality;1940;1941;1942;1943;1944;1945;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
South Africa;310.64;304.9;299.28;293.68;288.18;282.71;277.34;271.99;266.74;261.52;256.38;252.2;244.46;237.41;230.17;223.63;217.76;211.7;205.46;200.15;194.89;189.72;184.61;179.56;174.55;169.51;164.61;159.85;155.24;150.75;146.4;142.17;138.06;134.07;130.2;123.1;116.7;110.4;104.6;99.1;93.8;89;84.6;80.6;76.9;73.5;70.5;67.7;65.3;63.2;61.5;60.3;59.8;60.1;61;62.6;64.7;67.3;69.8;72.1;74;75.5;76.3;78;76.9;75.2;72.8;70.1;66.1;61.8;54.4;50.6;47.8;45.1;43.3;42.1
South Ossetia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Spain;208.07;205.75;163.77;155.8;136.33;127.03;122.37;107.8;98.93;98.95;115.5;101.8;91;83.1;78.1;74.9;71.9;68.3;64.3;59.9;55.6;51.6;48.2;45.3;42.9;40.8;38.8;36.7;34.4;31.8;29.2;26.6;24.4;23.1;23;23.5;23.6;22.8;21.3;19.5;17.8;16.4;15.4;14.7;14;13.4;12.8;12.3;11.9;11.5;11;10.5;10.1;9.5;8.9;8.3;7.7;7.3;7;6.7;6.5;6.3;6.2;6.1;5.9;5.7;5.5;5.2;5;4.8;4.6;4.5;4.4;4.3;4.2;4.1
Sri Lanka;243.35;230.16;217.69;205.89;194.73;184.18;174.2;164.76;155.83;147.38;139.39;135;132.5;129.8;127;123.5;119.7;115.3;110.6;105.8;101;96.4;92.2;88.3;84.8;81.6;78.8;76.4;74.3;72.5;71;69.7;68.5;67.1;65.6;63.8;61.6;59.1;56.3;53.2;49.9;46.3;42.4;38.3;34.1;30.2;26.9;24.2;22.5;21.6;21.3;21.2;21.2;21.1;20.8;20.2;19.5;18.7;17.8;17;16.3;15.8;15.4;15;28.8;14.1;13.3;12.5;11.7;11.1;10.6;10.1;9.7;9.4;9;8.7
Sudan;389.13;374.06;359.41;345.16;327.3;310.36;294.3;279.08;264.64;250.94;237.96;225.65;213.97;202.9;199.4;195.8;192.1;188.5;185.1;181.7;178.4;175.2;172.2;169.3;166.5;164;161.7;159.6;157.7;156;154.6;153.3;152.1;150.8;149.6;148.3;147;145.6;144.3;143.2;142.1;140.9;139.9;138.8;137.5;136;134.5;132.8;131.1;129.3;127.5;125.7;123.9;122.1;120.2;118.2;116.1;113.9;111.4;108.8;105.9;103.1;100.2;97.3;94.5;91.9;89.3;87;84.7;82.4;80.2;78.2;76.3;74.2;72.2;70.1
Suriname;237.14;229.43;220.98;211.44;202.98;193.93;185.13;176.56;168.96;160.85;152.97;149.49;143.34;137.81;132.24;126.68;121.71;117.35;112.33;108.05;103.88;100.36;96.39;93.03;89.22;85.51;81.87;78.79;75.42;72.67;69.66;67.23;65.35;64.24;63.15;62.08;61.02;59.97;58.94;57.93;56.74;55.8;54.96;57;55.5;54.1;52.7;51.4;50.2;48.9;47.6;46.3;44.9;43.5;42.2;40.9;39.6;38.3;37;35.7;34.4;33.3;32.1;31.1;30.1;29.2;28.3;27.4;26.4;25.6;24.9;24.1;23.4;22.6;21.9;21.3
Svalbard;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Swaziland;373.82;357.53;341.95;327.04;312.79;299.15;286.12;273.64;261.72;242.6;239.4;236.9;234.2;231.2;228.7;225.9;223.1;220.3;217.3;214.4;211.2;208;204.8;201.5;197.8;194;190.3;186.6;182.9;179;174.8;170.1;164.8;158.9;152.5;145.8;139.5;133.4;127.8;122.4;117;111.3;105.3;99.1;92.9;86.7;81;76;71.9;68.8;67;66.7;68;71;75.7;81.1;86.9;92.6;98.3;103.9;109.5;113.8;117;119.5;120.9;120.8;115.9;113;112.2;105.1;90.9;83.6;78.8;74.9;70.8;69.6
Sweden;49.2;49.66;40.24;40.24;43.72;40.39;33.97;32.41;29.72;29.38;27.1;25.7;24.4;23.2;22.3;21.6;21.1;20.6;20.3;19.9;19.6;19.2;18.6;17.9;17.1;16.3;15.5;14.9;14.4;13.9;13.4;12.9;12.3;11.6;10.9;10.3;9.8;9.4;9;8.7;8.5;8.2;8;7.8;7.7;7.6;7.5;7.4;7.3;7.2;6.9;6.6;6.1;5.7;5.2;4.8;4.5;4.3;4.2;4.1;4.1;4.1;4;3.9;3.7;3.6;3.4;3.3;3.2;3.1;3.1;3;3;3;3;3
Switzerland;61.64;54.27;50.79;51.28;53.5;51.32;49.49;47.77;43.87;42.13;38.5;37.2;35.8;34.5;33.1;31.7;30.3;29;27.9;27.1;26.5;26;25.4;24.6;23.6;22.6;21.6;20.7;19.9;19.2;18.4;17.6;16.7;15.8;14.8;13.8;12.9;12.1;11.4;10.8;10.4;10;9.7;9.4;9.2;9;8.9;8.8;8.6;8.4;8.2;7.9;7.5;7.1;6.7;6.4;6.1;6;5.8;5.7;5.6;5.6;5.5;5.3;5.2;5.1;5;4.8;4.7;4.6;4.5;4.4;4.3;4.2;4;3.9
Syria;333.78;331.73;329.68;327.65;325.63;323.62;321.62;319.64;317.67;315.71;313.76;297.71;282.36;267.7;252.7;238.6;225.1;212.7;201;190.1;179.9;170.4;161.6;153.3;145.6;138.2;131.2;124.4;117.7;111.3;105.2;99.6;94.1;89.1;84.3;79.8;75.6;71.6;67.8;64.2;60.8;57.7;54.7;52;49.4;47;44.8;42.7;40.7;38.9;37.2;35.5;33.9;32.4;30.9;29.5;28.1;26.8;25.6;24.4;23.4;22.3;21.4;20.5;19.6;18.8;18;17.3;16.5;15.9;15.3;15;16;15.3;14.3;12.9
Taiwan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tajikistan;248.86;245.1;241.39;237.74;234.14;230.6;227.11;223.68;220.29;216.96;213.68;210.45;207.26;204.13;201.04;198;195;192.05;189.15;186.29;183.47;180.69;177.96;175.27;172.62;170.01;167.43;164.9;162.41;159.95;157.53;155.15;152.8;148.2;143.4;139.4;136;133.5;131.8;130.8;130.5;130.4;129.9;128.5;126.1;122.6;118.3;113.6;109.9;108.1;108.4;111.2;115.7;119.9;121.4;119.8;116.2;111.3;105.6;99.4;93;86.6;80.4;74.6;69.5;65.2;61.5;58.6;56.2;54.3;52.6;50.9;49.3;47.8;46.3;44.8
Tanzania;378.69;377.72;364.27;351.29;338.77;326.7;315.06;303.84;293.02;282.58;272.51;262.8;260.3;258;255.9;253.7;251.7;249.7;247.8;245.7;243.4;241.4;239.2;236.7;233.9;230.9;227.5;224.1;220.6;217.1;213.8;210.3;206.5;202.7;198.7;194.5;190.3;186.1;182.2;179.1;177.5;176.5;176.2;176.1;175.7;174.8;173.3;171;168.4;165.9;163.6;161.7;160;158.3;156.4;154.2;151.1;147;141.8;135.6;128.4;120.5;112.6;104.8;97.5;90.6;84.2;78.1;72.4;67.3;62.3;58.2;55;52.6;50.1;48.4
Thailand;300.56;289.98;279.76;269.91;260.41;251.23;242.39;233.85;225.61;217.5;210;202.7;195.7;189;182.5;176.2;170.2;164.3;158.8;153.3;147.9;142.7;137.7;132.8;128;123.3;118.6;113.9;109.2;104.5;99.7;94.9;90.2;85.7;81.4;77.4;73.7;70.1;66.8;63.8;60.9;58.2;55.6;53.1;50.7;48.3;46;43.7;41.5;39.2;37;35;33.1;31.3;29.7;28.3;27;25.8;24.6;23.5;22.5;21.5;20.5;19.6;18.7;17.8;17;16.3;15.6;15;14.5;14;13.5;13.1;12.6;12.3
Timor-Leste;419.2;418.03;416.87;415.71;416.29;416.87;417.44;418.01;418.57;419.12;419.67;416.49;410.83;404.66;398.05;390.96;383.46;375.53;367.21;358.98;350.85;342.78;334.8;326.86;318.95;310.06;301.2;291.46;282.22;273.45;267.01;264.52;267.68;275.72;275.29;274.87;274.44;274.01;273.58;273.14;330.93;312.32;291.5;271.36;253.32;238.34;210;201;192.1;183.8;175.7;168.2;161;153.9;147;140.4;134;127.8;121.9;116;110.2;104.6;99.1;93.7;88.4;83.3;78.5;74.1;70.2;66.7;63.8;61.1;58.7;56.5;54.5;52.6
Togo;389.2;382.18;375.28;368.51;361.86;355.33;346.6;340.8;335.2;329.6;324.4;319.1;314;309;304.1;299.2;294.1;289.2;284.1;279.2;274.2;269.2;264.3;259.4;254.6;249.8;244.9;239.9;234.9;229.8;224.7;219.8;214.7;209.7;204.9;200.2;195.4;190.7;186.3;181.8;177.5;173.4;169.5;165.7;162.3;159;156.1;153.3;150.8;148.5;146.2;144.1;142.1;140;137.7;135.4;132.7;129.9;127;123.9;120.8;117.6;114.4;111.2;108.1;105.1;102.1;99.2;96.4;93.6;90.9;88.3;85.8;83.3;80.8;78.4
Tokelau;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tonga;148.72;147.57;146.43;145.3;144.18;143.06;141.96;140.86;139.77;138.69;137.62;135.87;132.74;130.16;124.27;118.64;113.27;108.14;103.25;98.57;94.11;89.85;85.78;81.9;76.5;71.5;66.7;62.2;57.8;53.8;50.2;46.9;44;41.5;39.3;37.2;35.3;33.6;32.1;30.7;29.4;28.3;27.4;26.6;26;25.4;24.8;24.1;23.4;22.7;21.9;21.1;20.4;19.8;19.3;18.9;18.6;18.4;18.1;17.9;17.6;17.3;17;16.8;16.7;16.7;16.7;16.8;17;17.2;17.4;17.5;17.5;17.3;17.1;16.7
Transnistria;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Trinidad and Tobago;160.99;166.61;185.45;137.14;114.21;121.19;112.53;115.99;105.72;114.29;107.15;100.46;94.18;88.3;85.2;82.3;79.4;76.5;73.7;71;68.5;66;63.7;61.6;59.7;58;56.6;55.2;53.9;52.8;51.6;50.6;49.5;48.3;47.2;46;44.7;43.4;42;40.7;39.5;38.3;37;35.9;34.9;34;33.1;32.3;31.6;31;30.5;30;29.7;29.4;29.2;29;28.9;28.8;28.8;28.7;28.7;28.6;28.3;28;27.5;26.9;26.3;25.6;24.9;24.3;23.6;22.9;22.2;21.5;20.9;20.4
Tunisia;367.73;364.44;360.05;356.79;348.03;340.5;332.05;324.77;316.55;309.54;301.6;299.75;297.81;295.89;293.98;292.08;290.2;288.32;286.46;284.61;282.78;280.95;267.8;256.3;244.7;233.5;222.3;211.2;200.6;190.3;180.6;171.1;162.1;153;144.1;135.1;126.3;117.7;109.6;102.3;95.7;89.9;84.6;80;75.6;71.5;67.9;64.7;61.9;59.3;57;54.8;52.5;50.1;47.5;44.9;42.1;39.3;36.5;34;31.7;29.6;27.8;26;24.5;23;21.7;20.5;19.4;18.3;17.4;16.5;15.8;15.2;14.6;14
Turkey;361.25;369.09;378.2;360.97;352.73;344.67;336.8;329.11;321.59;314.24;307.07;300.05;293.2;286.5;281.5;276.5;271.6;266.5;261.2;255.4;249;242.3;235.5;228.7;221.9;215.4;209.3;203.4;197.8;192.3;186.9;181.5;175.9;170.3;164.5;158.6;152.7;146.7;140.7;134.7;128.7;122.7;116.7;110.7;104.9;99.3;93.9;88.7;83.7;79;74.5;70.3;66.3;62.4;58.8;55.2;51.8;48.6;45.4;42.4;39.6;36.9;34.4;32;29.7;27.7;25.7;23.9;22.2;20.6;19.1;17.8;16.5;15.4;14.3;13.5
Turkmenistan;242.49;237.17;231.97;226.89;221.91;217.04;212.29;207.63;203.08;198.62;194.27;192.16;187.66;183.8;179.72;174.69;170.26;165.7;160.99;156.36;151.12;146.66;142.26;137.26;132.98;128.76;124.57;120.44;122.16;123.9;125.67;127.47;129.29;131.14;133.01;134.92;136.84;138.8;133.9;129.4;124.8;120.4;116;111.7;107.6;103.6;100;96.7;94;91.9;90.5;89.7;89.6;89.7;89.6;89.4;88.7;87.5;85.8;83.8;81.6;79.2;76.9;74.7;72.4;70.1;68;66;63.9;61.9;60.1;58.2;56.5;54.7;53.1;51.4
Turks and Caicos Islands;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tuvalu;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;83.9;80.3;76.9;73.6;70.7;68.1;65.9;63.9;62.3;61;60;59.3;58.8;58.3;57.8;57.2;56.4;55.4;54.3;52.9;51.4;49.7;47.8;46;44.2;42.6;41.1;39.8;38.7;37.6;36.6;35.6;34.6;33.6;32.6;31.7;30.7;29.8;28.9;28;27.1
Uganda;436.14;431.03;425.95;420.95;416;395.5;376.02;357.49;339.88;323.13;307.21;292.07;277.68;264;257.9;251.5;245.5;239.7;234.1;228.7;223.4;218.2;213.5;208.8;204.3;200;195.8;192.1;189;186.3;184.6;184.1;184.7;186.5;189.4;193.2;197.5;202;206;208.9;210.3;208.9;204.4;198.1;191.7;186.4;182.3;179.7;177.8;175.7;173.1;170;166.6;163.4;161.1;159.5;158.2;156.6;154.1;150.4;145.4;139.2;132.2;124.6;116.8;109.1;102;95.3;89.3;84;79.5;74.6;69.4;65.1;61.9;59.5
Ukraine;203.1;470.34;550.73;572.88;413.52;336.12;157.09;238.65;137.36;117.87;94.12;91.42;85.85;80.88;76.5;72.16;67.88;64.15;60.95;61.22;52.66;51.17;49.09;47.1;45.18;43.35;41.59;39.9;38.28;36.72;35.23;33.8;32.6;31.6;30.7;30;29.4;29;28.5;28;27.4;26.6;25.7;24.7;23.8;22.7;21.8;21;20.3;19.8;19.5;19.5;19.7;19.9;20.2;20.5;20.5;20.3;19.9;19.2;18.5;17.6;16.7;15.9;15.1;14.5;14;13.4;12.9;12.3;11.8;11.2;10.6;10;9.5;9
United Arab Emirates;396.62;395.62;394.61;393.61;392.61;391.61;366.14;340.76;317.64;294.54;273.4;265.59;258;250.63;243.47;236.51;229.75;223.19;216.81;210.62;204.6;193.8;183.3;172.7;162.2;151.3;140.4;129.4;118.6;108.2;98.4;89.1;80.6;72.8;65.8;59.4;53.5;48.2;43.4;39;35.2;31.9;29;26.5;24.4;22.7;21.1;19.7;18.5;17.4;16.5;15.6;14.8;14.2;13.6;13;12.6;12.2;11.8;11.5;11.1;10.9;10.6;10.3;10.1;9.8;9.6;9.4;9.1;8.8;8.5;8.2;7.8;7.4;7.1;6.8
United Kingdom;76.98;81.02;67.78;64.41;59.26;54.88;53.37;53.31;39.99;38.1;36.6;35.1;33.6;32.1;30.8;29.6;28.7;28;27.4;27;26.6;26.1;25.6;24.9;24.2;23.4;22.8;22.2;21.8;21.4;21;20.6;20.1;19.4;18.7;18;17.2;16.5;15.7;14.9;14.1;13.4;12.7;12.2;11.7;11.4;11.1;10.8;10.4;9.9;9.3;8.7;8.2;7.8;7.4;7.2;7;6.9;6.8;6.7;6.6;6.4;6.3;6.3;6.1;6;5.9;5.8;5.6;5.4;5.2;5;4.8;4.6;4.4;4.2
United States;59.54;58;52.54;51.48;48.18;46.12;44.55;40.82;38.79;38.7;37.7;36.6;35.6;34.7;33.8;33;32.3;31.7;31.2;30.6;30.1;29.5;28.9;28.3;27.7;27.1;26.4;25.7;24.9;24.1;23.3;22.4;21.5;20.6;19.7;18.8;17.9;17.1;16.3;15.6;15;14.4;13.9;13.4;13;12.7;12.4;12.2;11.9;11.6;11.2;10.9;10.5;10.1;9.8;9.5;9.2;8.9;8.7;8.6;8.4;8.3;8.2;8.1;8.1;8;7.9;7.8;7.7;7.5;7.4;7.2;7.1;6.9;6.7;6.5
Uruguay;123.99;118.76;136.4;110.15;90.28;87.15;84.13;98.38;82.61;68.73;66.62;64.57;62.59;60.66;58.8;60.6;62.3;63.8;64.6;64.8;64;62.6;61;59.6;58.6;58;57.6;57.1;56.3;55.4;54.3;53.5;53.5;54.3;55.2;55.4;54.5;52.2;48.6;44.4;40;36.1;33.2;31.2;29.8;28.6;27.5;26.3;25.1;24;23.1;22.3;21.8;21.5;21.1;20.6;20;19.2;18.3;17.5;16.8;16.2;15.8;15.3;14.8;14.3;13.8;13.3;13;12.7;12.3;12;11.6;11.1;10.6;10.1
USSR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Uzbekistan;247.79;243.56;239.41;235.33;231.31;227.37;223.49;219.68;215.94;212.25;208.63;205.08;201.58;198.14;194.76;191.44;188.18;184.97;181.82;178.72;175.67;172.67;169.73;166.83;163.99;161.19;158.44;155.74;153.09;150.48;147.91;145.39;142.91;140.47;138.08;135.72;133.41;131.13;128.9;126.7;118.2;110.2;102.9;96.4;90.5;85.3;80.8;77.3;74.5;72.5;71.5;71.1;71;70.6;70.2;69.5;68.7;67.7;66.5;65;63.2;61.4;59.6;57.8;56;54.2;52.5;50.8;49.2;47.6;46.1;44.6;43.2;41.8;40.4;39.1
Wallis et Futuna;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vanuatu;195.03;193.96;192.9;191.84;190.79;189.75;188.71;187.68;186.65;185.63;184.61;183.6;182.6;179.4;175.9;172.4;169;165.8;162.7;158.9;155.2;151;147;142.4;137.7;132.9;128.1;123;118.1;113.2;108.6;104.2;99.9;95.9;92.1;88.5;84.8;81.1;77.1;73;68.7;64.3;59.9;55.6;51.5;47.8;44.6;41.7;39.3;37.3;35.6;34.1;32.9;31.9;31;30.4;29.9;34.1;29.1;28.8;28.5;28.2;27.9;27.9;27.9;27.9;28;28.2;28.2;28.4;28.5;28.6;28.6;28.4;28.1;27.5
Venezuela;191.13;189.27;177.98;166.72;181.8;148.16;153.73;150.05;146.38;133.71;107.4;121.3;115.5;110.1;105;100.2;95.8;91.6;87.7;84.2;81.1;78.3;75.9;73.8;72;70.4;68.9;67.5;66;64.3;62.6;60.6;58.8;56.8;55;53.2;51.4;49.6;47.7;45.8;43.9;42.1;40.3;38.8;37.4;36.1;34.8;33.5;32.1;30.8;29.6;28.6;27.8;27.3;26.8;26.3;25.5;24.5;23.5;27.7;21.7;21;20.4;19.8;19.2;18.5;17.9;17.4;17.1;16.8;16.6;16.4;16.1;15.7;15.3;14.9
West Bank and Gaza;306.86;298.38;290.13;282.11;274.32;266.74;259.36;252.2;245.23;238.45;231.86;230.49;228.25;224.86;222.05;218.15;213.17;207.95;202.58;197.27;191.27;184.59;178.81;172.36;165.32;159.1;153.27;147.64;142.23;137.01;131.99;127.15;122.49;118;113.67;109.5;102.8;96.6;90.7;85.2;80;75.2;70.7;66.5;62.6;58.9;55.5;52.3;49.4;46.7;44.4;42.3;40.4;38.7;37.2;35.7;34.4;33.1;31.9;30.8;29.8;28.9;28.2;27.5;26.9;26.3;25.8;25.2;24.7;24.2;23.8;23.3;22.8;22.3;21.7;21.1
West Germany;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Western Sahara;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;179.14;171.16;163.3;155.54;147.99;140.81;134.17;128.16;122.82;118.12;114;110.32;106.89;103.55;100.19;96.73;93.14;89.48;85.81;82.14;78.51;74.97;71.54;68.27;65.19;62.32;59.66;57.2;54.9;52.74;50.71;48.76;46.87;45.03;43.22;41.45
Vietnam;298.28;284.08;269.38;256.1;242.3;229.81;216.88;205.15;193;182;173.73;165.84;158.31;151.11;144.25;137.69;131.43;125.45;119.75;114.3;110.08;106.05;102.23;98.61;95;93.3;91.8;90.3;88.8;87.3;85.7;84.2;82.6;81;79.3;77.6;75.9;74.1;72.3;70.5;68.7;66.9;65.3;63.6;62;60.3;58.5;56.7;54.8;52.8;50.8;48.8;46.8;44.8;43;41.2;39.5;38;36.5;35.1;33.8;32.5;31.4;30.4;29.4;28.5;27.7;26.9;26.2;25.5;24.8;24.2;23.5;22.9;22.3;21.7
Virgin Islands (U.S.);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27.58;26.74;25.9;25.06;24.2;23.33;22.47;21.63;20.84;20.09;19.4;18.75;18.14;17.56;17;16.47;15.96;15.47;15.02;14.6;14.21;13.87;13.56;13.29;13.05;12.82;12.6;12.38;12.14;11.89;11.62;11.35;11.08;10.82;10.57;10.33
North Yemen (former);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
South Yemen (former);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Yemen;505.31;504.54;503.78;503.02;502.25;501.47;500.69;499.92;499.13;498.36;497.57;489.46;500.39;488.96;477.93;467.28;457.14;447.6;439.9;432.6;425.5;418.2;410.7;403;394.3;384.7;374.3;362.9;350.8;338.4;326;314;302.5;291.4;280.3;268.6;256.6;244;231.3;218.5;205.8;193.6;181.9;171.1;161.2;152.7;145.4;139.2;133.7;128.9;124.8;121.3;118.2;115.6;113.2;111.1;108.9;106.4;103.3;99.7;95.6;91.3;86.9;82.7;78.8;75;71.4;68;64.8;61.7;58.8;56.1;53.7;51.5;49.4;47.5
Yugoslavia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zambia;377.76;376.93;376.1;375.27;374.44;354.89;336.35;318.79;302.14;286.36;271.41;257.23;243.8;239.4;234.9;230;225.5;220.9;216.5;211.8;207.3;203;198.9;195.3;192.3;189.8;188.2;187.1;186;183.7;180;175.1;169.3;163.7;158.8;155;153;152.7;153.3;153.9;155.2;156;157.4;159.5;162.7;167;171.2;175;178;180;181.1;181.4;181.2;180.2;177.7;174.7;172.1;170.2;168.3;165.2;160;151.6;140.7;129.4;119.2;111.1;104.6;98.9;94.9;90.1;84.8;81.4;77.7;72.8;70.2;67.8
Zimbabwe;361.24;344.7;328.71;313.17;298.13;282;266.74;252.3;238.65;225.74;213.52;201.97;191.04;180.7;176.3;172;168;164;159.5;155.3;150.7;145.8;140.9;135.9;131.1;126.2;121.9;117.9;114.7;112.2;110.4;109.2;108.3;107.7;107.4;107.3;107.2;106.9;106.1;104.2;101.2;96.9;92;86.7;81.5;76.9;72.8;69.8;68;67.5;68.3;70.1;72.9;76;79.2;82;84.2;85.7;86.8;87.8;88.7;89.5;90.6;92;94.1;96.2;97.9;98.7;98.3;97.3;95.1;92;86.7;83.3;81;79.6
Åland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
South Sudan;402.09;400.14;398.19;396.26;394.34;392.42;390.52;388.62;386.73;384.85;382.98;381.13;379.27;377.43;375.6;372.3;369.5;367.6;365.1;362.2;359.8;357.1;354;350.7;348.1;345.6;342.4;339.2;335.9;332.9;329.6;326.4;322.8;319.2;315.8;312.5;309.1;305.7;301.9;298.2;294.7;291.3;288.5;284.7;280.4;276.5;271.8;267.3;262.7;257.8;253.2;248.1;242.5;236.6;230.3;223.5;216.1;208.5;200.3;191.4;182.3;173;163.8;155.2;147;139.3;132.1;125.7;120;115.2;110.9;106.7;102.8;99.2;95.6;92.6
